index,id,created_at,user_id,text,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
777,1.22E+18,2020-01-27 01:57:19+00:00,55315884, it’s a la/laker thing. 💔,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
849,1.23E+18,2020-02-14 00:36:13+00:00,1.18E+18,sara my valentine for the second year i love it ❤️,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
697,1.25E+18,2020-04-07 13:48:28+00:00,271443977,"#dailyinspo☀️ #blessedbeyondmeasure🙏😇 @ huntington beach, california https://t.co/mh0xyweqtl",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5,1.33E+18,2020-11-23 01:27:58+00:00,25426447,"just posted a video @ los angeles, california https://t.co/415sojdvfe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1.26E+18,2020-05-07 14:34:41+00:00,2930849582,i use to lie up about my age. i’d tell folks i was 36 when i was 32 so when they told me i looked 31/32 i’d act all shy &amp; surprised 😋,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,1.30E+18,2020-09-07 02:28:17+00:00,2961958260," no one does this, no, ew.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
352,1.31E+18,2020-09-13 08:52:02+00:00,15723895, trump is the president of the united states,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,1.26E+18,2020-05-16 07:46:40+00:00,1.20E+18,"the irs’s website is one of the most ghetto, terrible services available through the government. even worse than the dmv and that is saying something.",0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,1,0,1,0,0,0,0,0,0,0,0
563,1.22E+18,2020-01-29 06:16:24+00:00,1.10E+18, still the same shit going on,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,1,0,1,0,0,0,0,0,0,0,0
785,1.32E+18,2020-10-28 05:54:58+00:00,243016773,in we trust 🙏🏾,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
646,1.27E+18,2020-06-14 01:42:46+00:00,185929100," yes, stores where i live will not let you enter without one.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,1.33E+18,2020-12-01 19:14:25+00:00,1.31E+18, betspert is my jam!  💃🕺,0.00E+00,0,0.00E+00,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
439,1.32E+18,2020-10-16 22:05:32+00:00,445440169, twice he had sum pic upside down....he made a choice 🤣🤣🤣🥳♥️🥊😳,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,1,1,0,0,0,0
200,1.29E+18,2020-07-30 22:43:04+00:00,1305832832,i’m so happy with my progress ✨,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,1,0,0,0,1
587,1.24E+18,2020-03-07 21:19:41+00:00,116101777,the media is complicit with the cdc in spreading #coronavirus panic. maybe if we had ample testing the death rate wouldn’t seem so high? https://t.co/pdfhbyej0t,0.00E+00,1,0.00E+00,1,0.00E+00,1,0.00E+00,1,0.00E+00,1,1,0,1,1,0,0,0,0,1,0,0
450,1.29E+18,2020-08-03 14:09:37+00:00,863201701,trump's klansman fox voter base didn't want to watch the funeral of a black man,0.00E+00,0,0.00E+00,1,0.00E+00,0,1,0,0.00E+00,1,0,0,0,0,0,0,0,0,1,0,0
54,1.33E+18,2020-11-30 04:35:54+00:00,168397172, ??? so we can’t be homies,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
76,1.26E+18,2020-05-05 17:17:02+00:00,1656997231,"“hey, guys. come on! you don’t want to stay here forever, do you?” 🌴photo by: themariahmonroe cosplay designed by: wig styled by: alicianicolehairdesign mua: #chel #cheldorado #theroadtoeldorado #eldorado #utahimecosplay https://t.co/s5qyudzbo6",0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00
110,1.31E+18,2020-09-15 06:29:28+00:00,9.60E+17,democrats ard at war against our great nation!!!!,0.00E+00,1,0.00E+00,0,0.00E+00,1,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
667,1.26E+18,2020-05-24 03:01:22+00:00,3362593773,"happy happy birthday 🎈🎊🎁🎉🎂 give thanks unto the lord; call upon his name: make known his deeds among the people...andant🕉♋️ @ los angeles, california https://t.co/kzrmtjooqb",1,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,0.00E+00,0,0.00E+00,0,1,1,0.00E+00,0,0.00E+00,0,0.00E+00
253,1.23E+18,2020-02-07 06:10:25+00:00,2584843639,i wanna meet him. i know we’d have some crackhead laughs,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,1,0,0.00E+00,0,0.00E+00
529,1.30E+18,2020-09-02 02:05:56+00:00,35762101,end of era decade living on 🐀⛵crossing #ambroseshippingchannel by my #kayak. everyone has #na story in marina...you're welcome. #coronavirus #pandemic #covid_19 #covid19 #2020 #summer #marinadelrey #marinadeley… https://t.co/0ck1eqtecm,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
270,1.28E+18,2020-06-24 07:41:46+00:00,2232502776,friday is taking too long to get here. 😫,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00,0,1,0,1,0,0.00E+00
648,1.29E+18,2020-07-22 20:09:56+00:00,4157678434,remember that part of the brutal federal overreaction to protests in portland is make us forget that #blacklivesmatter.,0.00E+00,1,0.00E+00,1,0.00E+00,0,0.00E+00,1,0.00E+00,0,1,0,1,1,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00
294,1.29E+18,2020-08-09 08:36:33+00:00,846945457,of course it is.no one can leave anything alone.,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
582,1.34E+18,2020-12-30 07:01:27+00:00,1.33E+18,how many different ways are law enforcement trying to kill bipoc? constantly not wearing masks. scott jones is a testament to incompetence #sacramento,0.00E+00,1,0.00E+00,1,0.00E+00,0,1,1,0.00E+00,1,1,0,1,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00
107,1.22E+18,2020-01-10 22:25:20+00:00,63198398,i jus fell off my skateboard staring at someone’s fedora,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
736,1.25E+18,2020-04-20 01:02:21+00:00,8.83E+17,what’s your quarantine subclass,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
241,1.29E+18,2020-08-07 16:47:11+00:00,1.01E+18, i knew nano was married 😩💔,0.00E+00,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,0.00E+00
311,1.25E+18,2020-04-28 01:50:14+00:00,1.07E+18,man i miss my city. 🤍 always coming back home to you. 🦋,0.00E+00,0,0.00E+00,0,1,0,0.00E+00,0,0.00E+00,0,0.00E+00,1,0.00E+00,0,0.00E+00,1,0.00E+00,0,1,0,0.00E+00
257,1.23E+18,2020-02-07 00:23:45+00:00,2747546383,i think everyone knew bron wasn’t choosing ingram 💀💀💀,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1
415,1.30E+18,2020-09-13 02:17:56+00:00,2997864620,"geez. they're getting hammered. stay safe, please. 💕💕""louisiana declares a state of emergency as gulf coast braces for tropical storm sally""  https://t.co/ykqrkmqi6x",1,1,0.00E+00,0,0.00E+00,0,1,0,1,0,0.00E+00,0,0.00E+00,1,0.00E+00,1,0.00E+00,1,1,0,0.00E+00
275,1.30E+18,2020-09-04 14:50:57+00:00,334771741,"i really don’t think people understand that some people literally never had shit , was picked on &amp; looked down at , now y’all mad they up ? that’s so lame 😒",0.00E+00,1,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,1,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
364,1.26E+18,2020-05-09 11:48:00+00:00,14303901,ibm’s watson is named after their founder. microsoft’s dr. watson debugger was named after sherlock holmes’s buddy.,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
741,1.26E+18,2020-05-17 16:24:11+00:00,324808098,i have become a completely different and actual morning person during this quarantine.. i’m so appreciative!,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,0.00E+00,0,0.00E+00,0,1,0,1,0,0.00E+00,0,0.00E+00
795,1.22E+18,2020-01-27 13:09:08+00:00,8.31E+17,kobe bryant is gone too soon! we are sending our condolences to his family after the helicopter crash yesterday. they confirmed his daughter gigi was aboard the helicopter as well. ⠀⠀⠀⠀⠀⠀⠀⠀⠀he taught us so much… https://t.co/usgu1ujwpa,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,0.00E+00,0,1,0,0.00E+00
232,1.30E+18,2020-09-06 20:15:54+00:00,30415752,my friends are so talented.,1,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,1,0.00E+00,0,0.00E+00,0,1
176,1.33E+18,2020-11-13 01:36:35+00:00,8.65E+17,a friday the 13th in 2020? look what happened the last one lmaoo,0.00E+00,1,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,1,0,0.00E+00,1,0.00E+00,0,0.00E+00
