index,id,created_at,user_id,text,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
634,1.27E+18,6/20/2020 15:33,26653483,10 is my least favourite doctor out of 10-13🙈,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
457,1.33E+18,11/16/2020 1:39,9.37E+17,the bottom has completely fallen out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,1.34E+18,12/12/2020 18:54,1.08E+18, 🏴🔥🏴we love you too! swylf forever!🏴🔥🏴,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
359,1.22E+18,2/1/2020 1:10,17638041, he is not impeached forever. there was no impeachment. the vote was partisan for impeachment articles and bi partisan for no impeachment articles.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
599,1.32E+18,10/27/2020 0:59,70928048,"please keep our first responders in your prayers, while our neighbors evacuate. stay safe",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
342,1.34E+18,12/11/2020 0:13,227185568,"caught this surfer just coming out of a barrel! tag if you know the surfer. #hbpier #hbpiersouthside #huntingtonbeach #surfing #surfphotography #california #canonphotography @ huntington beach, california https://t.co/b23eblqo11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,1.34E+18,12/14/2020 14:39,1.25E+18,no me rewatching all the lectures to study smfh i should of just payed attention the first time 🤦‍♂️😂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
780,1.22E+18,1/26/2020 16:04,7.55E+17,"yeah...ima have to be the elephant killer:- how did a fire started in the first place...in a open field tho?- since it was known for kobe to go 🚁  riding as his past time, who was watchn or following him?- kobe was only 41...why does his death seems like a setup? #qtna",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
121,1.27E+18,6/1/2020 20:59,2422476984,national guard everywhere in #westwood village. no masks in sight. police staging area on kinross and wilshire is packed with no fewer than 100 officers. unclear whether or not mass arrests will take place but no police busses in sight. https://t.co/21tj20osfb,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
192,1.31E+18,9/26/2020 16:22,727579052,"chocolate, i love chocolate, it’s my favorite!! #abgt400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
286,1.23E+18,2/29/2020 14:22,95590206,"a membership with cure’s concierge service is your ticket to a better life. if you’re looking for unprecedented 24/7 access to the best medical care available, this is the best deal in town.concierge members are… https://t.co/kesrhvmyp1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
187,1.21E+18,1/5/2020 23:43,512525777,me cheering awkwafina to everything she deserves https://t.co/nejzdmvkc8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
497,1.27E+18,6/22/2020 2:55,7.18E+17, bruh you’re not gonna not wanna be rich because of higher taxes. you’re still gonna be allowed to be a billionaire.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
845,1.23E+18,2/15/2020 2:27,2391735781, i miss you too! hope your valentines was extra special and i’ll get to see you soon! 🥰💖,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
16,1.26E+18,5/14/2020 17:22,1690186524, wow. it's almost like you have someone just printing money for you. must be nice.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,1.27E+18,6/1/2020 1:04,21145221,"#chicken #chashu #pesto #ramen...#globalistrecipes #cheatday #quarantinecooking #asianfusion #martiallaw #whitenationalistshaveinfiltratedlawenforcement @ sherman oaks, california https://t.co/oj8mfugfrp",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
383,1.25E+18,4/8/2020 5:40,27341776,they’re good lads who exercise good praxis at all times. snag this asap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
555,1.30E+18,8/24/2020 23:43,393695853, we love you jenny 💙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
830,1.27E+18,6/8/2020 14:19,10399172," well, everything except police violence, racism, and the number of people protesting against trump. those are all at all time high",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
147,1.24E+18,3/27/2020 11:00,1.24E+18," let's also thank the easter bunny, santa claus, tooth fairy, and all the orange ooompa loompas for allowing america's intelligence-challenged, arrested development idiots to live on planet plutocrat la-la liar. oh, and emperor, love your clothes!!",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
