index,id,created_at,user_id,text,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
83,1.30E+18,2020-08-26 15:37:00+00:00,38596217,jesus terrible human beings. 🙏,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
557,1.27E+18,2020-05-29 02:26:23+00:00,46840902,i doubt we’ll miss the 80.2m bots anyway. 😆,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148,1.28E+18,2020-07-06 15:34:35+00:00,46726207,"happy monday everyone, be safe wear your mask!!! have a wonderful day my friend!!! 🙌🙏🙏",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
613,1.27E+18,2020-05-28 22:27:38+00:00,1272620827," sady,  one of reasons ”some” people want to become cops, to legally ”bully” people of color or people of lower-socioeconomic status. i have several friends in law enforcement and they’ve told me they witness this attitude first hand.",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
462,1.29E+18,2020-08-04 19:32:56+00:00,1.28E+18,"why🤷🏽‍♂️ we have to stop killing eachother, i have been to lebanon 🇱🇧 so beautiful to spend time by the mediterranean sea 🌊🙏🏽💕#icubeirut 😢",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
131,1.30E+18,2020-08-16 23:35:51+00:00,46065234,yeah so i shamed orange county and now is time to shame los angeles for being reckless during a pandemic https://t.co/82wbbujgoe,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
223,1.32E+18,2020-10-22 00:36:09+00:00,7.63E+17,"a man who finds a good woman, finds a wife.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,1.27E+18,2020-06-21 01:23:17+00:00,8.86E+17,every protest i’ve been to has included zero looting by the protesters themselves. there was someone who came and flipped the snack and water table and people in cars that get livid for having to wait extra 3-5 minutes while we block road for protesters to pass.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,1.31E+18,2020-09-16 00:38:04+00:00,1.29E+18,my favorite movie for every letter of the alphabet!this was fun to make 😊 https://t.co/it7c98kwk6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
586,1.28E+18,2020-07-03 04:37:25+00:00,108813540," followed you both. i mean, why not?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
