index,id,created_at,user_id,text,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
634,1.27E+18,2020-06-20 19:33:22+00:00,26653483.0,10 is my least favourite doctor out of 10-13🙈,,,,,,,,,,,,,1,,,,,,,,
457,1.33E+18,2020-11-16 05:39:04+00:00,9.37202E+17,the bottom has completely fallen out,,,,,,,,,,,,,,,,,,,,,
652,1.34E+18,2020-12-12 22:54:03+00:00,1.08321E+18, 🏴🔥🏴we love you too! swylf forever!🏴🔥🏴,,,,,,,,,,,,,,,,1,,,,,
359,1.22E+18,2020-02-01 05:10:17+00:00,17638041.0, he is not impeached forever. there was no impeachment. the vote was partisan for impeachment articles and bi partisan for no impeachment articles.,,,,,,,1,1,,,,,,,,,,,,,
599,1.32E+18,2020-10-27 04:59:19+00:00,70928048.0,"please keep our first responders in your prayers, while our neighbors evacuate. stay safe",1,,,,,,,,1,,,,,,,,,,,,1
342,1.34E+18,2020-12-11 04:13:54+00:00,227185568.0,"caught this surfer just coming out of a barrel! tag if you know the surfer. #hbpier #hbpiersouthside #huntingtonbeach #surfing #surfphotography #california #canonphotography @ huntington beach, california https://t.co/b23eblqo11",,,,,,,,,,,,,,,1,,,,,,
234,1.34E+18,2020-12-14 18:39:37+00:00,1.24616E+18,no me rewatching all the lectures to study smfh i should of just payed attention the first time 🤦‍♂️😂,,,,,,,,,,,,,1,,,,,1,1,,
780,1.22E+18,2020-01-26 20:04:03+00:00,7.54732E+17,"yeah...ima have to be the elephant killer:- how did a fire started in the first place...in a open field tho?- since it was known for kobe to go 🚁  riding as his past time, who was watchn or following him?- kobe was only 41...why does his death seems like a setup? #qtna",,1,,,,,,,,,,,,1,,,,1,1,,
121,1.27E+18,2020-06-02 00:59:40+00:00,2422476984.0,national guard everywhere in #westwood village. no masks in sight. police staging area on kinross and wilshire is packed with no fewer than 100 officers. unclear whether or not mass arrests will take place but no police busses in sight. https://t.co/21tj20osfb,,,,,,,1,,,,,,,1,,,,1,,,
192,1.31E+18,2020-09-26 20:22:32+00:00,727579052.0,"chocolate, i love chocolate, it’s my favorite!! #abgt400",,,,,,,,,,,,,,,,1,,,,,
286,1.23E+18,2020-02-29 18:22:15+00:00,95590206.0,"a membership with cure’s concierge service is your ticket to a better life. if you’re looking for unprecedented 24/7 access to the best medical care available, this is the best deal in town.concierge members are… https://t.co/kesrhvmyp1",1,,,,,,,,,,,,,,,,1,,,,1
187,1.21E+18,2020-01-06 03:43:29+00:00,512525777.0,me cheering awkwafina to everything she deserves https://t.co/nejzdmvkc8,1,,,,,,,,,,,,,,1,1,,,,,
497,1.27E+18,2020-06-22 06:55:46+00:00,7.18157E+17, bruh you’re not gonna not wanna be rich because of higher taxes. you’re still gonna be allowed to be a billionaire.,,,,,,,,,,,,,1,,,,,1,,,
