tweetid,userid,screen_name,text,date,tweet_type,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation,origins,lockdowns,masking,healthcare,education,therapeutics,vaccines,concerns
1.3363807134075576e+18,61206798.0,HouseForeign,"Today, @madeleine Albright stressed the importance of American leadership, close cooperation with our allies, and support for friends and partners in the Balkans as those countries push for democracy, EU and NATO membership, and recover from #COVID19. https://t.co/nZsX4b4ajt ",Tue Dec 08 18:42:45 +0000 2020,original,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0]"
1.2769535516763546e+18,1.1848388983688645e+18,George74259921,FACT- BLACKS AND HISPANICS HAVE THE HIGHEST NUMBER OF COVID-19 CASES... FACT-THE HIGHEST NUMBER OF CASES ARE IN DEMOCRATIC STATES.. FACT- NOT THE PRESIDENT'S FAULT.. ,Sat Jun 27 19:00:26 +0000 2020,original,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0]"
1.3565965858917827e+18,7.975471999284224e+17,InSpiteOfTrump,"Biden meets with Republicans on COVID relief, Dems eye path forward without GOP support https://t.co/ENnEmk4Wl2 ",Tue Feb 02 13:33:25 +0000 2021,original,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0]"
1.3029849406367007e+18,9.57914614699778e+17,Prettty_Rickie,With the amount Alaska’s drink I feel like covid didn’t really stand a chance in having serious affects ha ,Mon Sep 07 14:59:52 +0000 2020,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0]"
1.393910269353468e+18,1.276490949745447e+18,pd_drda,"Ongoing work like renovation of village pond ,village road  under NREGS in ATHAGARH block .21082 persondays generated in the 1st  fortnight of May #employment to labourers during pandemic for enhancement of  their livelihood @PRDeptOdisha https://t.co/1vvWfX8ac1 ",Sun May 16 12:44:40 +0000 2021,original,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0]"
1.3699931405647503e+18,1.354354419127599e+18,mallikharjunan3,Save covid warriors life in ap stete https://t.co/SoapdJZ4mQ ,Thu Mar 11 12:46:32 +0000 2021,original,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0]"
1.3746706045578158e+18,18915579.0,ChicagoBreaking,"Chicago-area woman, 92, survived the Holocaust, life behind the Iron Curtain and then the pandemic in a nursing home. Her daughter is desperate to visit her. https://t.co/wmXlgXiKlH ",Wed Mar 24 10:33:06 +0000 2021,original,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[0, 1, 0, 0, 0, 0, 0]"
1.3669995539002204e+18,9.048352401238794e+17,hhhuuunt,"don’t stop wearing your mask around elders, or individuals with underlying conditions. wash you hands. stay safe. covid isn’t fake ",Wed Mar 03 06:31:05 +0000 2021,original,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 1, 0, 0, 0]"
1.3094590011308485e+18,567603437.0,pixelscol,I do feel sorry for the students in lockdown in the student accommodation near my house. Good to see a sense of humour from them though 😁 https://t.co/OIpJRyo3ln ,Fri Sep 25 11:45:29 +0000 2020,original,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"[1, 0, 1, 0, 0, 0, 0]"
1.3462751368953938e+18,320522283.0,itsangelsoft,I really just the world to be normal again. I was mentally distraught before this pandemic. NOW?! Jesus Christ ,Tue Jan 05 01:59:39 +0000 2021,original,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 0, 0, 0]"
1.2335919240045404e+18,11744272.0,chrishagan,Oregon #coronavirus case of unknown origin confirmed. It’s the first US case of community transmission outside of C… https://t.co/wsaDvsSvNl ,Sat Feb 29 03:16:48 +0000 2020,original,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0, 0, 0, 0, 1, 0, 0]"
